category_norm,jury_president_name,jury_role,affinity_summary,affinity_1,affinity_2,affinity_3,affinity_4,watchout,trayectoria,filosofia,sesgos,insights,implicaciones
Audio & Radio,Xolisa Dyeshana,Jury President,"El sonido como identidad cultural, no como formato residual. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El sonido como identidad cultural, no como formato residual. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El audio ganador crea cercanía: voz, ritmo, silencio y música deben construir una huella mental que la audiencia quiera escuchar voluntariamente.","Desarrollar sonic branding, podcasts, personajes de voz, paisajes sonoros y formatos que generen recordación y conversación.","Chief Creative Officer, Joe Public, Africa and Middle East. Trayectoria vinculada a audio, storytelling sonoro y memorabilidad de marca. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el sonido como identidad cultural, no como formato residual; penaliza cuñas tradicionales, jingles genéricos y piezas que podrían existir igual sin audio. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Creative Officer, Joe Public, Africa and Middle East. Trayectoria vinculada a audio, storytelling sonoro y memorabilidad de marca. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El sonido como identidad cultural, no como formato residual. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el sonido como identidad cultural, no como formato residual; penaliza cuñas tradicionales, jingles genéricos y piezas que podrían existir igual sin audio. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","El audio ganador crea cercanía: voz, ritmo, silencio y música deben construir una huella mental que la audiencia quiera escuchar voluntariamente.","Desarrollar sonic branding, podcasts, personajes de voz, paisajes sonoros y formatos que generen recordación y conversación."
Film,Kate Stanners,Jury President,"Historias humanas simples, universales y perfectamente ejecutadas. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Historias humanas simples, universales y perfectamente ejecutadas. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El film ganador dramatiza una verdad humana que la marca puede poseer; si la emoción se recuerda antes que el claim, la pieza tiene fuerza.","Priorizar guion, tensión narrativa, casting y dirección antes que volumen de contenidos; medir recuerdo de historia y asociación de marca.","Chairwoman and Global Chief Creative Officer, Saatchi & Saatchi, Global. Trayectoria vinculada a storytelling audiovisual global, guion, dirección y construcción emocional de marca. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer historias humanas simples, universales y perfectamente ejecutadas; penaliza manifiestos genéricos, celebridades sin idea y producción costosa sin verdad emocional. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chairwoman and Global Chief Creative Officer, Saatchi & Saatchi, Global. Trayectoria vinculada a storytelling audiovisual global, guion, dirección y construcción emocional de marca. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Historias humanas simples, universales y perfectamente ejecutadas. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer historias humanas simples, universales y perfectamente ejecutadas; penaliza manifiestos genéricos, celebridades sin idea y producción costosa sin verdad emocional. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","El film ganador dramatiza una verdad humana que la marca puede poseer; si la emoción se recuerda antes que el claim, la pieza tiene fuerza.","Priorizar guion, tensión narrativa, casting y dirección antes que volumen de contenidos; medir recuerdo de historia y asociación de marca."
Outdoor,Keka Morelle,Jury President,"El contexto físico como parte de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El contexto físico como parte de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Outdoor no es superficie: es situación. Gana cuando usa ubicación, escala, timing o comportamiento urbano para volverse inevitable.","Diseñar piezas para calles, aeropuertos, playas, retail o transporte con lectura en 3 segundos y potencial fotográfico/earned media.","Chief Creative Officer LATAM, Ogilvy, LATAM. Trayectoria vinculada a ideas públicas, visuales, urbanas y de lectura inmediata. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el contexto físico como parte de la idea; penaliza espectaculares que solo amplifican un key visual, mensajes complejos o exteriores sin relación con el lugar. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Creative Officer LATAM, Ogilvy, LATAM. Trayectoria vinculada a ideas públicas, visuales, urbanas y de lectura inmediata. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El contexto físico como parte de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el contexto físico como parte de la idea; penaliza espectaculares que solo amplifican un key visual, mensajes complejos o exteriores sin relación con el lugar. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Outdoor no es superficie: es situación. Gana cuando usa ubicación, escala, timing o comportamiento urbano para volverse inevitable.","Diseñar piezas para calles, aeropuertos, playas, retail o transporte con lectura en 3 segundos y potencial fotográfico/earned media."
Print & Publishing,Icaro Doria,Jury President,"Decir mucho con poco: una imagen, una tensión y una idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Decir mucho con poco: una imagen, una tensión y una idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",Print sigue premiando inteligencia condensada; una pieza estática gana cuando detiene la mirada y recompensa al lector por pensar.,"Reducir cada pieza a una tensión visual y usar print/editorial para ideas premium, manifiestos visuales y autoridad de marca.","President and Chief Creative Officer, DM9, Brazil. Trayectoria vinculada a dirección de arte, síntesis visual y pensamiento conceptual editorial. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer decir mucho con poco: una imagen, una tensión y una idea; penaliza layouts sobrecargados, visuales decorativos y piezas que requieren explicación. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","President and Chief Creative Officer, DM9, Brazil. Trayectoria vinculada a dirección de arte, síntesis visual y pensamiento conceptual editorial. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Decir mucho con poco: una imagen, una tensión y una idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer decir mucho con poco: una imagen, una tensión y una idea; penaliza layouts sobrecargados, visuales decorativos y piezas que requieren explicación. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",Print sigue premiando inteligencia condensada; una pieza estática gana cuando detiene la mirada y recompensa al lector por pensar.,"Reducir cada pieza a una tensión visual y usar print/editorial para ideas premium, manifiestos visuales y autoridad de marca."
Design,Jessica Walsh,Jury President,"El diseño como sistema de significado, no como decoración. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El diseño como sistema de significado, no como decoración. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El diseño ganador crea reconocimiento acumulativo: una marca se recuerda por un lenguaje visual consistente, flexible y distintivo.","Crear sistemas completos: paleta, tipografía, composición, motion, tono gráfico y reglas de aplicación para todos los puntos de contacto.","Founder & Creative Director, &Walsh, USA. Trayectoria vinculada a branding, identidad visual, sistemas gráficos, tipografía y diseño como negocio. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el diseño como sistema de significado, no como decoración; penaliza estética sin función, tendencias sin estrategia y piezas bonitas pero no escalables. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Founder & Creative Director, &Walsh, USA. Trayectoria vinculada a branding, identidad visual, sistemas gráficos, tipografía y diseño como negocio. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El diseño como sistema de significado, no como decoración. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el diseño como sistema de significado, no como decoración; penaliza estética sin función, tendencias sin estrategia y piezas bonitas pero no escalables. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","El diseño ganador crea reconocimiento acumulativo: una marca se recuerda por un lenguaje visual consistente, flexible y distintivo.","Crear sistemas completos: paleta, tipografía, composición, motion, tono gráfico y reglas de aplicación para todos los puntos de contacto."
Digital Craft,Naoki Tanaka,Jury President,"Tecnología al servicio de una experiencia humana útil y bella. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tecnología al servicio de una experiencia humana útil y bella. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Lo digital ganador combina magia y utilidad: la audiencia no premia complejidad técnica, premia que algo difícil se sienta natural.","Integrar diseño, data y desarrollo desde el brief; prototipar temprano y medir fricción, utilidad, adopción y sorpresa.","Chief Creative Officer, Dentsu Lab, Dentsu, Global. Trayectoria vinculada a interacción, UX, tecnología creativa, prototipos, IA y craft digital. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer tecnología al servicio de una experiencia humana útil y bella; penaliza tech gimmicks, demos sin adopción, IA decorativa y experiencias digitales con fricción. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Creative Officer, Dentsu Lab, Dentsu, Global. Trayectoria vinculada a interacción, UX, tecnología creativa, prototipos, IA y craft digital. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tecnología al servicio de una experiencia humana útil y bella. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer tecnología al servicio de una experiencia humana útil y bella; penaliza tech gimmicks, demos sin adopción, IA decorativa y experiencias digitales con fricción. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Lo digital ganador combina magia y utilidad: la audiencia no premia complejidad técnica, premia que algo difícil se sienta natural.","Integrar diseño, data y desarrollo desde el brief; prototipar temprano y medir fricción, utilidad, adopción y sorpresa."
Film Craft,Ali Ali,Jury President,"El craft como interpretación de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El craft como interpretación de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Una misma idea puede ser común o brillante según la mirada del director, el timing, el casting y el control del tono.","Invertir en tratamiento, casting, preproducción y edición; usar craft para volver distintiva una idea simple.","Co-Founder and Film Director, Good People Films, Egypt. Trayectoria vinculada a dirección, casting, fotografía, edición, sonido y ejecución cinematográfica. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el craft como interpretación de la idea; penaliza producción cara sin alma, casting genérico, tono mal resuelto y ejecución que no agrega significado. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Co-Founder and Film Director, Good People Films, Egypt. Trayectoria vinculada a dirección, casting, fotografía, edición, sonido y ejecución cinematográfica. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El craft como interpretación de la idea. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el craft como interpretación de la idea; penaliza producción cara sin alma, casting genérico, tono mal resuelto y ejecución que no agrega significado. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Una misma idea puede ser común o brillante según la mirada del director, el timing, el casting y el control del tono.","Invertir en tratamiento, casting, preproducción y edición; usar craft para volver distintiva una idea simple."
Industry Craft,Matthias Spaetgens,Jury President,"El detalle como señal de valor y confianza. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","El detalle como señal de valor y confianza. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",El detalle también comunica posicionamiento: el nivel de oficio proyecta valor antes de que el consumidor lea el mensaje.,"Elevar estándares de producción gráfica, empaque, señalética y assets físicos con revisiones formales de craft.","Chief Creative Officer, Scholz & Friends, Germany, Austria and Switzerland. Trayectoria vinculada a diseño aplicado, materialidad, tipografía, ilustración, empaque y acabado. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer el detalle como señal de valor y confianza; penaliza ejecuciones descuidadas, craft desconectado del concepto y adaptaciones mecánicas. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Chief Creative Officer, Scholz & Friends, Germany, Austria and Switzerland. Trayectoria vinculada a diseño aplicado, materialidad, tipografía, ilustración, empaque y acabado. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","El detalle como señal de valor y confianza. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer el detalle como señal de valor y confianza; penaliza ejecuciones descuidadas, craft desconectado del concepto y adaptaciones mecánicas. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",El detalle también comunica posicionamiento: el nivel de oficio proyecta valor antes de que el consumidor lea el mensaje.,"Elevar estándares de producción gráfica, empaque, señalética y assets físicos con revisiones formales de craft."
Creative B2B,Wendy Walker,Jury President,"B2b como mezcla de emoción, evidencia y reducción de riesgo. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","B2b como mezcla de emoción, evidencia y reducción de riesgo. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.",En B2B se compite por confianza antes que por conversión; la creatividad debe hacer defendible una decisión compleja dentro de la empresa.,"Crear thought leadership, casos de uso y narrativas ejecutivas que ayuden al comprador a vender internamente la decisión.","Vice President Marketing ASEAN, Salesforce, ASEAN. Trayectoria vinculada a marketing tecnológico/empresarial, generación de confianza y construcción de marca B2B. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer B2B como mezcla de emoción, evidencia y reducción de riesgo; penaliza campañas de leads sin marca, jerga corporativa y mensajes que solo hablan al comprador listo para comprar. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Vice President Marketing ASEAN, Salesforce, ASEAN. Trayectoria vinculada a marketing tecnológico/empresarial, generación de confianza y construcción de marca B2B. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","B2b como mezcla de emoción, evidencia y reducción de riesgo. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer B2B como mezcla de emoción, evidencia y reducción de riesgo; penaliza campañas de leads sin marca, jerga corporativa y mensajes que solo hablan al comprador listo para comprar. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.",En B2B se compite por confianza antes que por conversión; la creatividad debe hacer defendible una decisión compleja dentro de la empresa.,"Crear thought leadership, casos de uso y narrativas ejecutivas que ayuden al comprador a vender internamente la decisión."
Creative Data,Tina Allan,Jury President,"La data como reveladora de verdades humanas, no como decoración. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La data como reveladora de verdades humanas, no como decoración. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","La data ganadora no explica el pasado: desbloquea una intervención nueva y modifica idea, experiencia, targeting o resultado.","Involucrar data desde el brief, identificar datos exclusivos y demostrar causalidad entre insight, idea e impacto.","Global Chief Data and Intelligence Officer, FCB, Global. Trayectoria vinculada a inteligencia de datos, analítica, estrategia y creatividad informada por evidencia. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","Tiende a favorecer la data como reveladora de verdades humanas, no como decoración; penaliza dashboards disfrazados de idea, segmentaciones obvias y métricas sin consecuencia creativa. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","Global Chief Data and Intelligence Officer, FCB, Global. Trayectoria vinculada a inteligencia de datos, analítica, estrategia y creatividad informada por evidencia. Su lectura como Jury President probablemente combina experiencia profesional, criterio de excelencia global y sensibilidad por la evolución específica de la categoría.","La data como reveladora de verdades humanas, no como decoración. En esta categoría, la creatividad debe demostrar relevancia cultural, claridad estratégica, ejecución superior e impacto verificable.","Tiende a favorecer la data como reveladora de verdades humanas, no como decoración; penaliza dashboards disfrazados de idea, segmentaciones obvias y métricas sin consecuencia creativa. También se espera rigor en resultados, autenticidad y coherencia con la naturaleza del medio.","La data ganadora no explica el pasado: desbloquea una intervención nueva y modifica idea, experiencia, targeting o resultado.","Involucrar data desde el brief, identificar datos exclusivos y demostrar causalidad entre insight, idea e impacto."
